parameter_value,log_likelihood
1.0000000000000082e-18,56825.033607193436
1.3257113655901216e-18,56825.047231436016
1.7575106248548108e-18,56825.08543912499
2.3299518105153812e-18,56825.12228113898
3.0888435964774977e-18,56825.2453661022
4.094915062380453e-18,56825.33921866714
5.428675439323904e-18,56825.6336751314
7.19685673001153e-18,56826.01994680586
9.540954763499964e-18,56826.68752071346
1.264855216855301e-17,56827.70846491211
1.6768329368110167e-17,56829.263342689694
2.2229964825262092e-17,56831.37720425299
2.947051702551834e-17,56834.03526533565
3.906939937054653e-17,56836.90223043617
5.1794746792312655e-17,56839.45379033255
6.866488450043083e-17,56841.24820027515
9.102981779915264e-17,56841.95425911259
1.2067926406393364e-16,56841.43942866968
1.5998587196060705e-16,56839.71876426152
2.1209508879202011e-16,56836.77605664262
2.81176869797426e-16,56832.55312613783
3.7275937203149534e-16,56826.895021314296
4.941713361323858e-16,56819.54463166944
6.551285568595549e-16,56809.942493881565
8.685113737513591e-16,56797.28287406312
1.1513953993264528e-15,56780.41477204743
1.5264179671752428e-15,56757.97336437714
2.0235896477251637e-15,56729.28813738894
2.6826957952797383e-15,56694.33817522078
3.556480306223151e-15,56654.05238566527
4.714866363457409e-15,56609.7372789316
6.2505519252740016e-15,56562.674314279066
8.286427728546893e-15,56513.91621844271
1.0985411419875663e-14,56464.05055114393
1.4563484775012503e-14,56413.604397889416
1.9306977288832614e-14,56362.78338134335
2.5595479226995542e-14,56311.74185097396
3.393221771895344e-14,56260.597575136126
4.4984326689694714e-14,56209.391007732454
5.963623316594685e-14,56158.13118095744
7.906043210907767e-14,56106.83133862436
1.0481131341546874e-13,56055.54288594355
1.3894954943731417e-13,56004.2114382143
1.8420699693267238e-13,55952.93567441604
2.442053094548655e-13,55901.59677626039
3.237457542817653e-13,55850.302497915385
4.291934260128796e-13,55798.97000635133
5.689866029018305e-13,55747.66899060144
7.543120063354669e-13,55696.353429136434
1.000000000000004e-12,55645.025715218086
