parameter_value,log_likelihood
1.646933222151694e-09,56035.12850565114
1.987506892117085e-09,56035.143175667574
2.398508690626838e-09,56035.132004842715
2.894502636357935e-09,56035.15369567483
3.493064479867899e-09,56035.14421352872
4.215404507583217e-09,56035.141181834435
5.08711913706929e-09,56035.13828996175
6.139097936670701e-09,56035.12969178708
7.408618210138275e-09,56035.1294046806
8.940665933301406e-09,56035.136412348635
1.0789529850722894e-08,56035.13939325259
1.3020725219810745e-08,56035.12813479883
1.5713315371054483e-08,56035.14424566447
1.8962713349833395e-08,56035.13063078913
2.2884062917132145e-08,56035.149142438255
2.7616318716322442e-08,56035.13577310068
3.332717018840801e-08,56035.14633530787
4.021898371670523e-08,56035.13380741207
4.8535973563312876e-08,56035.12650822561
5.8572855702471e-08,56035.129718643926
7.068529120297135e-08,56035.150429041496
8.530248922519355e-08,56035.12855124871
1.0294241622517922e-07,56035.14053582334
1.2423015031017694e-07,56035.11323163168
1.4992003113983915e-07,56035.13213450446
1.8092239026397691e-07,56035.13836011442
2.1833580909744434e-07,56035.17313941459
2.6348604760682874e-07,56035.15069294058
3.179730231630648e-07,56035.14031035052
3.837275042750254e-07,56035.15801700748
4.630795281699973e-07,56035.18959836463
5.588409666262856e-07,56035.19162075001
6.744051658123702e-07,56035.24221909466
8.138671909115146e-07,56035.279173790695
9.821689364498176e-07,56035.368057788895
1.185274244372199e-06,56035.4041736751
1.4303802352477083e-06,56035.472707053894
1.7261723412128863e-06,56035.53898940848
2.083132077850872e-06,56035.614179738026
2.5139084610301458e-06,56035.536589411924
3.033766230012121e-06,56035.122519989214
3.661126759798749e-06,56034.172237890554
4.418220830172842e-06,56032.21248786677
5.331876382571961e-06,56028.6502377791
6.4344691792864895e-06,56022.80128881081
7.765070051983517e-06,56013.86380894465
9.37082939278256e-06,56001.45049735213
1.1308647947896705e-05,55985.30341139299
1.3647193119102793e-05,55965.50490669305
1.646933222151694e-05,55942.46031454279
