parameter_value,log_likelihood
7.506581724835126e-10,56034.742503133384
9.058887581888729e-10,56035.23697808094
1.0932198866202302e-09,56035.611976600914
1.3192897137738526e-09,56035.95807629741
1.592109117453455e-09,56036.216325265064
1.9213455660376027e-09,56036.4563863667
2.3186656892191893e-09,56036.62270499568
2.798148689852629e-09,56036.72482467384
3.376785246328726e-09,56036.820471968815
4.075079584288978e-09,56036.825386425655
4.9177760523395045e-09,56036.847779160234
5.934735948275657e-09,56036.82640824775
7.1619956665167174e-09,56036.75667309903
8.643043662643158e-09,56036.642436883914
1.0430361484802132e-08,56036.54258667396
1.2587283479067116e-08,56036.42322438624
1.519024106817917e-08,56036.26309409429
1.833147113061596e-08,56036.121227197786
2.2122284452519658e-08,56035.981029529954
2.669701007143057e-08,56035.86065347258
3.2217755281276457e-08,56035.6931257953
3.8880149971363215e-08,56035.54521687872
4.692027885239454e-08,56035.41356360185
5.662304721581487e-08,56035.27791886097
6.833227667061878e-08,56035.172403596494
8.246288860423306e-08,56035.07273884592
9.951560709344925e-08,56035.00836946379
1.2009470226912928e-07,56034.9266767081
1.4492940287815684e-07,56034.90038837337
1.748997368056117e-07,56034.85064845263
2.1106771522676776e-07,56034.79278884648
2.5471496541222097e-07,56034.76073935617
3.0738814572016943e-07,56034.745026995726
3.709537520748701e-07,56034.71268218288
4.476642580214994e-07,56034.70019175269
5.402379320576111e-07,56034.68317343306
6.519551606013336e-07,56034.69098996363
7.867746898405227e-07,56034.65911375846
9.494739055408315e-07,56034.6672862163
1.1458181216857567e-06,56034.63629235535
1.3827648767615502e-06,56034.624028394384
1.668710477010384e-06,56034.65150935566
2.0137875230138793e-06,56034.66013615772
2.4302239625844527e-06,56034.649606242085
2.9327763931522655e-06,56034.65689173957
3.539252967896902e-06,56034.65433108009
4.271144435018884e-06,56034.63344050082
5.154385671288413e-06,56034.64400904606
6.220274695127677e-06,56034.64068828911
7.5065817248351106e-06,56034.643476981735
