parameter_value,log_likelihood
1.0000000000000082e-18,56034.75172674875
1.3257113655901216e-18,56034.794243763055
1.7575106248548108e-18,56034.93401493165
2.3299518105153812e-18,56035.11144343868
3.0888435964774977e-18,56035.39327437692
4.094915062380453e-18,56035.7754716238
5.428675439323904e-18,56036.1808995356
7.19685673001153e-18,56036.62155261304
9.540954763499964e-18,56036.837153785564
1.264855216855301e-17,56036.764896904766
1.6768329368110167e-17,56036.35002115081
2.2229964825262092e-17,56035.463583550445
2.947051702551834e-17,56033.930177576585
3.906939937054653e-17,56031.47324856041
5.1794746792312655e-17,56027.639008290054
6.866488450043083e-17,56021.91385466218
9.102981779915264e-17,56013.65834549866
1.2067926406393364e-16,56001.97756621604
1.5998587196060705e-16,55985.919843533935
2.1209508879202011e-16,55964.46174513029
2.81176869797426e-16,55936.843463022786
3.7275937203149534e-16,55903.03318270245
4.941713361323858e-16,55863.798572650674
6.551285568595549e-16,55820.24444851043
8.685113737513591e-16,55773.7587433967
1.1513953993264528e-15,55725.326656229154
1.5264179671752428e-15,55675.70606185566
2.0235896477251637e-15,55625.34086078889
2.6826957952797383e-15,55574.584408333
3.556480306223151e-15,55523.57390778485
4.714866363457409e-15,55472.472422925035
6.2505519252740016e-15,55421.26307157541
8.286427728546893e-15,55369.999266067374
1.0985411419875663e-14,55318.7055820966
1.4563484775012503e-14,55267.42214843323
1.9306977288832614e-14,55216.10686380369
2.5595479226995542e-14,55164.81882319336
3.393221771895344e-14,55113.49995725829
4.4984326689694714e-14,55062.20294409176
5.963623316594685e-14,55010.856892939155
7.906043210907767e-14,54959.5677325149
1.0481131341546874e-13,54908.254803603755
1.3894954943731417e-13,54856.93660912988
1.8420699693267238e-13,54805.61456430936
2.442053094548655e-13,54754.26059095028
3.237457542817653e-13,54703.003635750814
4.291934260128796e-13,54651.677760729435
5.689866029018305e-13,54600.400749686356
7.543120063354669e-13,54549.0508926144
1.000000000000004e-12,54497.72824847784
