parameter_value,log_likelihood
1.0000000000000082e-17,56008.96579226314
1.1513953993264574e-17,56009.142196831
1.3257113655901218e-17,56009.37723896966
1.526417967175249e-17,56009.637098986736
1.757510624854811e-17,56010.0257492275
2.0235896477251804e-17,56010.4756176844
2.3299518105154005e-17,56011.043693180356
2.6826957952797383e-17,56011.739626761446
3.0888435964774976e-17,56012.5973685744
3.5564803062231506e-17,56013.54368964885
4.094915062380453e-17,56014.65856670361
4.7148663634574285e-17,56015.90949716792
5.428675439323904e-17,56017.29027120586
6.250551925274028e-17,56018.69721977032
7.196856730011587e-17,56020.22849785033
8.286427728546928e-17,56021.80080835344
9.540954763499963e-17,56023.39366372411
1.0985411419875663e-16,56025.04838628814
1.264855216855306e-16,56026.735434555114
1.4563484775012563e-16,56028.42233931171
1.6768329368110236e-16,56030.103330587706
1.9306977288832614e-16,56031.70991841405
2.2229964825262093e-16,56033.19922536731
2.559547922699554e-16,56034.36850663983
2.947051702551834e-16,56035.07244461731
3.3932217718953434e-16,56035.02852747324
3.906939937054637e-16,56033.8610591976
4.498432668969471e-16,56031.203676461315
5.179474679231244e-16,56026.619686643324
5.963623316594686e-16,56019.53773286982
6.866488450043054e-16,56009.51105074642
7.906043210907766e-16,55995.93248836625
9.102981779915264e-16,55978.25946002407
1.0481131341546918e-15,55955.7985492533
1.2067926406393362e-15,55928.07192931291
1.3894954943731418e-15,55894.268048725295
1.5998587196060704e-15,55853.86421771878
1.8420699693267238e-15,55806.025691365045
2.120950887920201e-15,55750.07068935984
2.442053094548665e-15,55685.129288814685
2.811768697974248e-15,55610.345825504635
3.2374575428176534e-15,55524.807733785055
3.727593720314968e-15,55427.40640964082
4.291934260128796e-15,55317.16567448643
4.941713361323858e-15,55193.017197555615
5.689866029018328e-15,55053.861058199094
6.551285568595549e-15,54898.52484329368
7.543120063354669e-15,54725.78440719284
8.685113737513556e-15,54534.452666704696
1.0000000000000041e-14,54323.29525439153
