parameter_value,log_likelihood
1.0000000000000082e-18,56034.7263608807
1.3257113655901216e-18,56034.80008701835
1.7575106248548108e-18,56034.936507701444
2.3299518105153812e-18,56035.145997782965
3.0888435964774977e-18,56035.389496882446
4.094915062380453e-18,56035.77881234057
5.428675439323904e-18,56036.21417292084
7.19685673001153e-18,56036.613988789
9.540954763499964e-18,56036.85069739125
1.264855216855301e-17,56036.767109952576
1.6768329368110167e-17,56036.37278592852
2.2229964825262092e-17,56035.4614393213
2.947051702551834e-17,56033.912659245645
3.906939937054653e-17,56031.43022469286
5.1794746792312655e-17,56027.64556318981
6.866488450043083e-17,56021.93040151988
9.102981779915264e-17,56013.63427165174
1.2067926406393364e-16,56001.977167962345
1.5998587196060705e-16,55985.95951218532
2.1209508879202011e-16,55964.460548254385
2.81176869797426e-16,55936.87127718421
3.7275937203149534e-16,55903.08766174074
4.941713361323858e-16,55863.82424524597
6.551285568595549e-16,55820.29063973733
8.685113737513591e-16,55773.80147159324
1.1513953993264528e-15,55725.40240957109
1.5264179671752428e-15,55675.7358862964
2.0235896477251637e-15,55625.40486668555
2.6826957952797383e-15,55574.627859963715
3.556480306223151e-15,55523.642969735825
4.714866363457409e-15,55472.51149031956
6.2505519252740016e-15,55421.31867177369
8.286427728546893e-15,55370.04261485339
1.0985411419875663e-14,55318.732940794696
1.4563484775012503e-14,55267.46482429597
1.9306977288832614e-14,55216.168794816906
2.5595479226995542e-14,55164.84360233317
3.393221771895344e-14,55113.55268378686
4.4984326689694714e-14,55062.24813474064
5.963623316594685e-14,55010.944927939054
7.906043210907767e-14,54959.58778320388
1.0481131341546874e-13,54908.29762559283
1.3894954943731417e-13,54856.95795785917
1.8420699693267238e-13,54805.659532900994
2.442053094548655e-13,54754.34083701536
3.237457542817653e-13,54703.0231069479
4.291934260128796e-13,54651.707108544506
5.689866029018305e-13,54600.43058350703
7.543120063354669e-13,54549.083902055085
1.000000000000004e-12,54497.782676850984
