parameter_value,log_likelihood
1.5044243642728695e-09,56035.13052939956
1.8155282512030036e-09,56035.13559580978
2.190966132424571e-09,56035.14961409805
2.64404180449998e-09,56035.13553992775
3.1908101912133138e-09,56035.15691427134
3.850646256433189e-09,56035.15351323514
4.6469315639689645e-09,56035.16512510678
5.607882812952341e-09,56035.12022637466
6.767551708238649e-09,56035.12520779095
8.167031596648539e-09,56035.14588556044
9.855913626704303e-09,56035.147653928754
1.1894044031483655e-08,56035.147391703045
1.435364480463458e-08,56035.168279710866
1.7321872916583948e-08,56035.134251689735
2.0903908757823216e-08,56035.140888618706
2.5226683249537074e-08,56035.146735032715
3.044337569328071e-08,56035.16317341189
3.673884174286939e-08,56035.14308456405
4.433616384090775e-08,56035.123501396614
5.3504556237387e-08,56035.15487524017
6.456890470795172e-08,56035.160116594736
7.792127901569827e-08,56035.153270358634
9.403482606534843e-08,56035.16089873564
1.1348053605946183e-07,56035.14858474033
1.3694747577236452e-07,56035.15222640838
1.6526720591622196e-07,56035.151335052695
1.9944324783872122e-07,56035.15318095777
2.406866437169745e-07,56035.152996588884
2.90458870337825e-07,56035.14057837202
3.5052362713210026e-07,56035.13674788375
4.230093335932228e-07,56035.139716783815
5.10484550702047e-07,56035.16298632323
6.160489989473047e-07,56035.15476124834
7.43443398202833e-07,56035.13519006934
8.97182021683073e-07,56035.12879153087
1.0827126610810472e-06,56035.13572554089
1.306609671319629e-06,56035.13946653025
1.576806935536704e-06,56035.134723280535
1.902879005514747e-06,56035.088109568926
2.296380379882277e-06,56035.056618074326
2.771254942550478e-06,56035.074046977956
3.3443300700052833e-06,56035.00745614167
4.035912916351187e-06,56034.942806358595
4.870510005713824e-06,56034.9041498292
5.877695631055659e-06,56034.8011606713
7.093159831475891e-06,56034.66249223589
8.559973083503607e-06,56034.52461129409
1.0330112521242897e-05,56034.34673654421
1.2466303767612136e-05,56034.10456271835
1.5044243642728634e-05,56033.83597070049
