parameter_value,log_likelihood
4.5654837930305155e-09,55544.496177144094
5.509592242387366e-09,55561.76004123262
6.648935371036597e-09,55579.0767209056
8.023886273853476e-09,55596.42007606405
9.68316690461332e-09,55613.83291744584
1.1685574558569664e-08,55631.30813006781
1.4102065378924046e-08,55648.78381189724
1.7018268717100174e-08,55666.42524361555
2.0537521444219002e-08,55684.142831835634
2.478452973585589e-08,55702.01898942982
2.99097880869375e-08,55720.00015430775
3.609491214639805e-08,55738.18160600682
4.3559074342796196e-08,55756.57628520515
5.256677034994786e-08,55775.25144508689
6.34371916004949e-08,55794.20447343422
7.655553596630429e-08,55813.5613291976
9.238665740433527e-08,55833.340343767675
1.1149153824881877e-07,55853.66796991018
1.3454716785223274e-07,55874.601672906625
1.6237053198293897e-07,55896.30761195431
1.9594756305370354e-07,55918.848895236835
2.3646807704442027e-07,55942.42548296995
2.853679351233402e-07,55967.13089467235
3.443799239812884e-07,55993.16695747247
4.155951578445504e-07,56020.7356868737
5.015371779721426e-07,56049.98839925481
6.052513753837992e-07,56081.08472831613
7.304129055500007e-07,56114.16263516535
8.8145691904573e-07,56149.27912991291
1.0637357229450036e-06,56186.43694021314
1.2837084420351866e-06,56225.60923024585
1.5491699005746416e-06,56266.44047329151
1.8695268351134384e-06,56308.68360616887
2.2561312260926335e-06,56351.77128039151
2.7226825599651705e-06,56395.02620703708
3.2857132761630225e-06,56437.46534500378
3.965174600924466e-06,56477.90890483769
4.785143527245634e-06,56515.09299483253
5.774675993082951e-06,56547.60404596456
6.968836490529113e-06,56574.64028809952
8.409940590589342e-06,56596.02445540968
1.014905441293719e-05,56612.267353535135
1.2247804174980704e-05,56624.24765996822
1.478055994235836e-05,56632.95171935937
1.7837070962966533e-05,56639.122176963974
2.152564596866948e-05,56643.424185062395
2.597699113999791e-05,56646.354133571265
3.1348841733702533e-05,56648.13626335187
3.7831551496799275e-05,56649.043345116464
4.565483793030515e-05,56649.21969979498
